"location","Intercept","BetaSTR","BetaSTRquad","F-Pval","BICfull","Interceptlin","BetaSTRlin","F-Pval-lin","BIClin"
"42561331",0.00764644030612255,0.434116115693873,NA,0.394939004402674,379.765259388446,0.00764644030612255,0.434116115693873,0.394939004402674,379.765259388446
"42561688",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42562461",0.255559105503758,-0.251254769804666,NA,2.8846043715065e-10,340.338232044832,0.255559105503758,-0.251254769804666,2.8846043715065e-10,340.338232044832
"42571991",0.000493683777364255,0.0403963767607306,0.0350274376193692,0.342617340571926,383.832970278732,0.00420761167463625,-0.0581849072290684,0.289070736639024,379.360888398729
"42572524",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42572614",0.0129435468916618,-0.0514525687970487,-0.00928975882438175,0.877137439314504,385.736280369704,0.0129874493435729,-0.0628408648227795,0.608961335788457,380.231992478844
"42573900",0.00777089773858929,-0.152217418916667,0.0502564336780775,0.759386105545418,385.444414339106,0.00875230897396265,-0.162072423405208,0.476979685548202,379.985416513616
"42574448",0.0238693771403324,-0.0439906002041272,-0.0266094951586999,0.321627377289846,383.704968203478,0.0124260223562848,0.0100224468735951,0.75500330687945,380.397994745384
"42576057",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42577202",0.168885484347099,-0.138715241618994,0.000277770103729721,1.59780230025902e-07,354.316360728665,0.168973258255039,-0.138212257393449,2.13907102014101e-08,348.811089043548
"42578275",0.0123949757540984,-0.367011802254097,NA,0.309943621887585,379.454871423708,0.0123949757540984,-0.367011802254097,0.309943621887585,379.454871423708
"42579304",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42580908",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42582858",0.00663500783586304,-0.0194837700137472,0.010011362939904,0.855785374367046,385.686383710732,0.0095152515538536,-0.0064028628119914,0.917525499140489,380.485535906726
"42584449",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42586988",0.056786713380947,-0.213373768566189,0.0994727224861175,0.0827711175665397,380.956825299238,0.0424500665490985,-0.0584717693530807,0.17309761305642,378.621410929468
"42590004",0.0526735181091687,0.0591502923933981,-0.00504407893181633,0.0480027534405134,379.853731321107,0.0541545122018374,0.0714731790302075,0.013943176348221,374.389016958328
"42591391",0.0132150375484387,0.0732733571895139,0.0173819230155813,0.396631160397847,384.129370075582,0.0185260751420319,0.0546896110717029,0.220130554837315,378.977417146475
"42592772",0.00239958144032933,0.574947798893002,NA,0.0512228118758828,376.656389920674,0.00239958144032933,0.574947798893002,0.0512228118758828,376.656389920674
"42593028",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42596372",-0.00340785762104159,-0.160693625616469,-0.0921022835483053,0.307722832262311,383.615488630174,0.00752012224284703,-0.00479577689958404,0.926253278106913,380.487713570966
"42598509",0.00920094774992937,-0.00263528744664141,0.000738264282047353,0.995264958446187,385.99209059908,0.00971733246771217,-0.00358682647891303,0.937230463300628,380.490103407522
"42600440",0.00608755944489806,0.817600807555099,NA,0.108445289125655,377.893191038737,0.00608755944489806,0.817600807555099,0.108445289125655,377.893191038737
"42600464",0.0207184562470811,-0.233390297964722,0.082934333687394,0.270943873510003,383.357770137806,0.0222945067588599,-0.132054509653313,0.143988172683543,378.339647257687
"42600704",0.0140570114615376,-0.0195832496188414,-0.00176192085598828,0.280089322405581,383.424983554171,0.00392787054424827,-0.021076316829921,0.120946646908179,378.066666755096
"42600961",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42602472",0.0203681538504426,-0.146462449668034,-0.0177602987800468,0.00251491180571242,373.882874722775,0.00686824440487182,-0.125110461480311,0.000898003771365202,369.356390840995
"42603910",0.0742413121405643,0.210645422162026,0.0942584104224546,0.00168460589993989,373.071568572425,0.052691120609445,0.0578634523854535,0.0986624417303484,377.741348967333
"42604688",0.346134303035178,-0.106051594329159,0.00777766176845075,1.66157895044139e-13,326.423460700413,0.299131111979332,-0.0319315022920769,2.87956417846573e-11,335.786356638491
"42605136",0.348046059779986,-0.201576618768049,0.0234808675182629,3.61860701463187e-13,327.999320146417,0.34747742310007,-0.15400797342892,3.8473988465795e-14,322.665949757387
"42607044",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42608181",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42608403",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42609911",0.00560453493561052,-0.107847852538431,-0.00675409570494357,0.466151113240613,384.456363960021,0.00476525525553959,-0.103898876194298,0.21731026219146,378.958701812517
"42613312",0.0116711203414313,0.0220573621359644,0.000670119204509942,0.927989712916089,385.850385803617,0.0117881642303186,0.0208838560592273,0.699326932077055,380.345664620795
"42614140",0.0103728241535271,-0.120707940416667,-0.0231732740701934,0.855970930264117,385.686822667401,0.00992029479821001,-0.125252089359642,0.58267111623806,380.191333345416
"42618736",0.00977215789559668,-0.0261917871008194,-0.0014101187617746,0.771762495925093,385.477146519877,0.0087285868852282,-0.0239868653191263,0.48016829754531,379.992771144249
"42620404",0.0152175707475045,0.227166824371331,0.117954352025331,0.0316819757424635,379.012450920027,0.032585393346641,0.146176059801889,0.0298228140772044,375.728463199399
"42620703",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42624385",0.00443396153007206,-0.0260291127150388,0.0236936660135344,0.850833939009632,385.674635154474,0.0062376944390089,-0.0459216234708135,0.611138237750101,380.235194449893
"42625365",0.158144442866915,-0.0143689935253001,-0.00234072196983356,4.48446312215744e-05,365.729869553522,0.0225099500780002,0.00379541494486223,0.28448366484997,379.339065873467
"42626169",0.0387436018366443,-0.0237671465524845,-0.0448247676451538,0.0341532293267848,379.164523896412,0.0381937056934916,0.070805111695989,0.037882487544331,376.141846997998
"42626670",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42628274",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42628342",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42630618",0.00776222763537558,-0.00181996220691254,0.00158972656521271,0.989578679532027,385.980489694048,0.00938741614866565,-0.000729507303533824,0.980696210403616,380.495777370694
"42630753",0.0564209693269196,0.0679820737936103,-0.109912907391068,0.00581683435345564,375.580615787326,0.0375935127426316,0.157565084174712,0.00656714723409216,373.03287591307
"42632583",0.011252651885037,-0.134231015053094,-0.0690508493557702,0.617303439850774,385.025000234531,0.0082256451470776,-0.0291631724818932,0.772189611415912,380.411691279442
